DOY	2011	2012	2013	2014
91	11.0703	1.89386	6.51283	15.2454
92	25.476	4.23366	9.62186	29.3736
93	89.4015	12.7669	19.3207	33.7413
94	149.714	22.038	38.5128	51.9992
95	177.461	32.5602	48.594	72.362
96	207.784	43.9428	69.4975	82.6802
97	213.655	47.0815	71.3123	84.4008
98	220.957	67.1856	103.887	85.2986
99	254.426	68.9796	102.709	100.295
100	279.726	96.3548	143.487	114.059
101	293.806	114.588	169.299	141.565
102	310.289	151.044	217.262	215.549
103	314.903	203.22	286.912	257.266
104	365.373	235.046	326.689	305.793
105	421.446	224.904	304.532	333.537
106	460.013	221.597	291.776	362.75
107	481.166	228.704	299.789	420.357
108	467.69	209.678	267.611	453.08
109	454.968	217.369	272.518	517.738
110	437.675	254.208	323.012	556.704
111	450.392	252.008	319.049	577.884
112	488.539	267.048	336.31	588.154
113	502.418	306.439	386.194	566.883
114	571.159	308.533	386.475	576.056
115	683.75	326.086	407.115	602.135
116	725.736	420.02	535.458	632.794
117	738.593	439.03	551.529	629.068
118	738.702	465.419	579.618	626.235
119	715.631	479.233	589.538	589.754
120	695.785	520.88	641.607	585.125
121	657.964	503.499	608.34	580.096
122	610.5	496.712	590.656	589.983
123	578.837	495.922	582.412	594.55
124	581.008	496.927	577.617	617.152
125	613.227	506.049	594.127	608.976
126	614.744	470.542	539.486	599.521
127	643.869	513.077	592.799	587.351
128	711.954	577.532	678.98	598.711
129	767.958	661.209	789.223	632.954
130	751.216	684.76	807.093	620.013
131	744.586	743.731	878.566	656.337
132	687.289	723.124	836.147	702.688
133	671.546	728.095	834.745	696.224
134	722.17	744.133	846.325	686.2
135	827.505	810.992	924.73	720.863
136	938.76	925.567	1068.12	752.14
137	936.743	979.415	1123.56	859.457
138	886.821	1071.64	1240.13	970.978
139	872.436	1113.97	1281.5	1156.5
140	881.195	1147.19	1307.44	1259.24
141	948.189	1151.52	1294.08	1353.06
142	1007.25	1128.79	1242.28	1460.44
143	1150.15	1159.53	1269.66	1420.27
144	1219.69	1270.09	1401.95	1430.09
145	1247.92	1352.88	1489.93	1386.23
146	1259.67	1385.53	1510.61	1319.75
147	1251.06	1484.26	1625.36	1269.95
148	1239.56	1482.43	1602.16	1277.99
149	1277.75	1431.61	1515.14	1388.17
150	1317.41	1401.32	1461.64	1495.28
151	1389.23	1395.44	1443.3	1523.73
152	1428.74	1368.57	1399.38	1486.67
153	1446.14	1388.79	1423.5	1534.55
154	1482.8	1418.49	1458.3	1667.18
155	1538.8	1449.44	1492.49	1844.1
156	1532.14	1434.64	1464.43	1967.89
157	1616.59	1434.58	1458.34	2047.96
158	1781.89	1436.88	1454.69	2120.07
159	1982.66	1426.59	1438.55	2106.45
160	2140.16	1436.2	1447.85	2095.43
161	2214.57	1477.94	1497.05	2097.64
162	2167.8	1538.63	1575.46	2142.01
