time	A_running	A_p_meas	A_p_pred	B_running	B_p_meas	B_p_pred
00:00:00	6300	0	-0.886196	17348	0	-0.636939
00:08:08	6301	-2.56246	-0.907758	17349	-0.796582	-1.32478
00:16:16	6302	-3.19397	-0.913264	17350	-1.07268	-1.32289
00:24:24	6303	-1.22425	-0.910076	17351	-1.78996	-1.32724
00:32:32	6304	0.0840053	-0.901655	17352	-0.105154	-1.32407
00:40:40	6305	-1.16315	-0.906708	17353	1.88689	-1.32853
00:48:48	6306	-0.215007	-0.900466	17354	-1.20721	-1.32374
00:56:56	6307	0.765447	-0.895669	17355	1.19135	-1.32772
01:05:04	6308	-0.1451	-0.89957	17356	-1.76529	-1.33071
01:13:12	6309	-4.60913	-0.89086	17357	0.613885	-1.32897
01:21:20	6310	-1.25421	-0.893375	17358	0.394766	-1.36142
01:29:28	6311	0.139813	-0.887369	17359	0.838879	-1.37422
01:37:36	6312	-1.55557	-0.883369	17360	-2.3733	-1.35041
01:45:44	6313	-2.61826	-0.878174	17361	-2.32924	-1.3422
01:53:52	6314	0.330147	-0.877037	17362	-1.36758	-1.33167
02:02:00	6315	-3.5059	-0.86869	17363	-1.63135	-1.32669
02:10:08	6316	-2.70227	-0.87102	17364	2.65175	-1.32579
02:18:16	6317	-1.21661	-0.863716	17365	-2.07722	-1.33055
02:26:24	6318	-2.15183	-0.858477	17366	-1.04272	-1.30603
02:34:32	6319	-3.39135	-0.857396	17367	3.28208	-0.576459
02:42:40	6320	-1.63664	-0.859998	17368	1.07268	0.582594
02:50:48	6321	-1.22131	-0.868405	17369	2.78745	2.50117
02:58:56	6322	-0.657356	-0.747265	17370	5.10788	3.77357
03:07:04	6323	1.73415	-0.574631	17371	8.54093	4.31776
03:15:12	6324	0.0763685	-0.375974	17372	4.70489	5.55969
03:23:20	6325	-2.55599	-0.123752	17373	8.34238	7.55267
03:31:28	6326	0.49992	0.0844541	17374	9.70056	9.71212
03:39:36	6327	0.370681	0.371571	17375	13.4144	11.5757
03:47:44	6328	1.58553	0.607623	17376	12.4481	12.0351
03:55:52	6329	4.96043	0.850957	17377	12.8135	10.9641
04:04:00	6330	4.55979	1.02066	17378	11.7572	10.5539
04:12:08	6331	1.75824	1.23477	17379	8.52272	11.0069
04:20:16	6332	1.20662	1.44388	17380	8.7483	11.3062
04:28:24	6333	6.27925	1.59771	17381	14.6234	13.6454
04:36:32	6334	3.15167	2.50174	17382	10.9195	15.7058
04:44:40	6335	5.77816	3.4914	17383	13.808	17.1745
04:52:48	6336	4.12331	3.80898	17384	12.7365	15.2708
05:00:56	6337	1.72887	4.24789	17385	11.6057	15.8629
05:09:04	6338	4.77832	6.37193	17386	12.6219	14.7268
05:17:12	6339	6.61469	6.96527	17387	16.5949	19.0835
05:25:20	6340	4.0581	5.50239	17388	19.3571	24.3527
05:33:28	6341	7.66505	8.67459	17389	26.6197	32.6199
05:41:36	6342	14.3203	5.48196	17390	30.4428	35.4155
05:49:44	6343	13.0508	5.47191	17391	29.7896	30.735
05:57:52	6344	13.0026	3.66366	17392	29.1945	27.9387
06:06:00	6345	15.9405	8.08105	17393	25.2838	28.5831
06:14:08	6346	13.2587	13.9843	17394	26.1022	28.1998
06:22:16	6347	10.241	6.69334	17395	21.7186	26.5283
06:30:24	6348	7.05234	5.8108	17396	24.8955	27.2796
06:38:32	6349	11.1486	10.2142	17397	25.1828	29.5584
06:46:40	6350	13.5143	7.84974	17398	31.5425	33.3443
06:54:48	6351	13.23	9.84666	17399	36.1617	38.2713
07:02:56	6352	25.0753	20.0465	17400	36.8842	41.4117
07:11:04	6353	17.402	17.7936	17401	43.8948	47.6412
07:19:12	6354	20.3681	17.7454	17402	47.3126	49.1411
07:27:20	6355	20.0585	17.7275	17403	48.7178	52.5221
07:35:28	6356	17.1036	11.4792	17404	51.6298	53.7758
07:43:36	6357	15.9434	15.8042	17405	58.2562	56.5821
07:51:44	6358	13.9314	9.86195	17406	57.5137	53.7201
07:59:52	6359	14.1258	12.0063	17407	57.556	53.8022
08:08:00	6360	8.20726	9.44748	17408	70.1474	71.0052
08:16:08	6361	17.5454	13.8151	17409	72.368	73.0773
08:24:16	6362	20.4532	19.631	17410	65.3714	61.938
08:32:24	6363	18.1504	21.2151	17411	75.9285	78.3197
08:40:32	6364	15.7695	22.8845	17412	57.647	53.5548
08:48:40	6365	21.2199	18.0364	17413	65.0536	52.7556
08:56:48	6366	15.323	13.5734	17414	63.6138	69.6868
09:04:56	6367	23.2754	20.3498	17415	38.7071	38.1911
09:13:04	6368	19.7213	13.3775	17416	68.1653	80.4947
09:21:12	6369	15.5234	14.662	17417	41.0263	39.3452
09:29:20	6370	13.3075	11.4792	17418	65.5964	73.634
09:37:28	6371	16.5761	13.3957	17419	52.8805	54.863
09:45:36	6372	14.4166	11.4401	17420	37.7307	37.9429
09:53:44	6373	12.837	14.0512	17421	54.6346	52.7239
10:01:52	6374	18.6697	15.1402	17422	39.3973	39.5594
10:10:00	6375	15.8582	11.7192	17423	47.4989	44.9521
10:18:08	6376	9.50729	10.6339	17424	39.5941	38.0283
10:26:16	6377	15.1304	12.8498	17425	45.9069	47.0512
10:34:24	6378	17.7181	13.3421	17426	37.3665	37.8203
10:42:32	6379	19.1215	14.4692	17427	49.4034	48.6785
10:50:40	6380	20.3375	15.4558	17428	36.9524	38.8004
10:58:48	6381	14.0495	11.0943	17429	36.4078	37.8467
11:06:56	6382	9.77105	10.5561	17430	55.4277	56.4124
11:15:04	6383	23.2137	24.2463	17431	41.9228	40.9804
11:23:12	6384	28.9254	23.6948	17432	34.575	38.8711
11:31:20	6385	23.7694	24.2556	17433	43.5353	42.8742
11:39:28	6386	11.8524	9.80135	17434	37.2085	37.281
11:47:36	6387	22.7596	20.86	17435	35.2188	37.6611
11:55:44	6388	14.0077	14.292	17436	36.1781	37.0241
12:03:52	6389	20.0309	22.77	17437	35.5384	36.0366
12:12:00	6390	7.04881	7.91858	17438	39.3903	42.2837
12:20:08	6391	17.6047	23.6449	17439	37.9916	39.1271
12:28:16	6392	17.1759	22.808	17440	39.1359	40.2562
12:36:24	6393	21.8173	23.0858	17441	33.7578	33.4363
12:44:32	6394	10.026	10.284	17442	32.5659	32.28
12:52:40	6395	13.0385	11.0428	17443	35.5401	35.2429
13:00:48	6396	12.8816	12.7258	17444	43.0119	37.8375
13:08:56	6397	13.3193	12.2731	17445	45.5191	44.4343
13:17:04	6398	17.7245	14.5857	17446	47.9347	45.4696
13:25:12	6399	8.97565	10.7338	17447	38.1707	38.5725
13:33:20	6400	26.3977	22.8446	17448	32.53	33.6351
13:41:28	6401	10.8526	10.7842	17449	34.8657	31.9992
13:49:36	6402	9.85036	8.00999	17450	33.1422	34.9142
13:57:44	6403	15.5839	15.2729	17451	39.8814	39.366
14:05:52	6404	11.9728	11.2563	17452	41.2067	44.1434
14:14:00	6405	15.0763	24.6297	17453	53.6982	53.5155
14:22:08	6406	9.04673	8.31372	17454	59.9957	59.0558
14:30:16	6407	23.8052	22.7421	17455	61.4608	59.0512
14:38:24	6408	13.4168	11.5444	17456	67.6748	66.2893
14:46:32	6409	25.3878	21.3797	17457	54.953	50.9981
14:54:40	6410	27.2735	21.4383	17458	38.4686	36.7249
15:02:48	6411	26.6855	22.1517	17459	27.925	27.5885
15:10:56	6412	16.9409	12.6728	17460	26.9557	24.4208
15:19:04	6413	12.0245	10.024	17461	28.5471	29.1793
15:27:12	6414	22.235	21.1919	17462	32.9559	31.1135
15:35:20	6415	19.3958	17.1649	17463	27.8698	29.7435
15:43:28	6416	23.5397	21.2129	17464	31.5654	30.1952
15:51:36	6417	22.766	20.1865	17465	31.2423	32.7333
15:59:44	6418	22.9705	19.9711	17466	33.5921	36.6011
16:07:52	6419	23.7876	19.8395	17467	42.4673	44.1822
16:16:00	6420	23.9168	19.4188	17468	73.3143	72.185
16:24:08	6421	22.6691	19.1131	17469	56.8276	53.9564
16:32:16	6422	20.0232	19.2371	17470	43.5441	40.9499
16:40:24	6423	22.2644	18.6587	17471	33.0869	36.31
16:48:32	6424	10.2892	10.539	17472	35.0449	36.868
16:56:40	6425	12.7377	8.30494	17473	41.4023	37.6213
17:04:48	6426	4.32892	5.29301	17474	50.2781	53.1446
17:12:56	6427	17.8955	17.006	17475	39.2804	41.9234
17:21:04	6428	19.3071	17.2088	17476	67.5256	63.2225
17:29:12	6429	20.519	17.1467	17477	64.8551	59.3042
17:37:20	6430	16.636	16.3658	17478	63.6279	57.7589
17:45:28	6431	15.8118	14.5788	17479	60.6054	55.3983
17:53:36	6432	15.2126	14.5378	17480	58.9359	53.4223
18:01:44	6433	21.1576	15.4048	17481	60.9679	52.8697
18:09:52	6434	15.85	15.4798	17482	59.608	52.4893
18:18:00	6435	18.4782	14.8686	17483	61.808	49.5349
18:26:08	6436	14.4566	11.7051	17484	34.5626	26.4831
18:34:16	6437	7.00593	8.04569	17485	23.4956	22.5094
18:42:24	6438	4.99802	4.35459	17486	19.83	23.9113
18:50:32	6439	5.82222	4.71317	17487	15.7137	15.3159
18:58:40	6440	2.87028	4.38389	17488	16.5167	17.2096
19:06:48	6441	8.92571	6.51914	17489	25.1998	24.1428
