time	A_running	A_p_meas	A_p_pred	B_running	B_p_meas	B_p_pred	C_running	C_p_meas	C_p_pred
00:00:00	20195	NA	-0.5817	18058	0.0000	-0.6526	16284	NA	-0.6055
00:08:08	20196	-4.4605	-3.0054	18059	-1.9956	-2.0349	16285	-1.6455	-1.9257
00:16:16	20197	-2.6341	-3.0167	18060	1.0639	-2.0135	16286	0.2626	-1.9052
00:24:24	20198	-5.6589	-3.0024	18061	-3.8366	-2.0158	16287	2.1366	-1.7041
00:32:32	20199	-3.3091	-2.9797	18062	-2.1624	-2.0107	16288	1.0045	-1.6504
00:40:40	20200	-2.7416	-2.9937	18063	-4.6796	-2.0056	16289	3.2028	-1.2580
00:48:48	20201	-5.9027	-3.0060	18064	-1.8992	-1.9931	16290	1.0122	-0.9588
00:56:56	20202	-5.1995	-3.0153	18065	-5.9080	-1.9773	16291	2.3310	-0.6595
01:05:04	20203	-4.6978	-2.9995	18066	-5.0720	-1.9748	16292	0.8083	-0.2009
01:13:12	20204	-2.0902	-3.0008	18067	-3.2087	-1.9575	16293	3.6915	-0.0470
01:21:20	20205	-4.6450	-3.0022	18068	-3.0882	-1.9620	16294	4.2872	0.2736
01:29:28	20206	-4.3565	-3.0077	18069	-3.1123	-1.9699	16295	4.7965	0.5654
01:37:36	20207	-2.8556	-3.0229	18070	-3.6733	-1.9792	16296	4.6291	0.8900
01:45:44	20208	-4.4458	-3.0204	18071	-2.4232	-1.9785	16297	6.0490	1.5199
01:53:52	20209	-5.9567	-3.0324	18072	-4.6109	-1.9901	16298	4.3812	2.2163
02:02:00	20210	-6.8356	-3.0021	18073	-2.0437	-1.9864	16299	5.8058	2.7604
02:10:08	20211	-2.5231	-3.0010	18074	-0.8406	-1.9993	16300	6.0413	3.6480
02:18:16	20212	-2.6506	-3.0012	18075	-3.5881	-1.9962	16301	4.2232	4.6164
02:26:24	20213	-2.5296	-3.0123	18076	-1.6455	-1.9847	16302	7.6557	5.7116
02:34:32	20214	-3.4472	-3.0032	18077	-2.1747	-1.9850	16303	7.0271	6.7346
02:42:40	20215	-1.8828	-2.9876	18078	-3.7797	-1.9850	16304	8.8529	7.6546
02:50:48	20216	0.7273	-2.9855	18079	1.3699	-1.9927	16305	10.8249	8.5957
02:58:56	20217	-0.6744	-2.9792	18080	-1.9633	-1.9760	16306	10.3773	9.9206
03:07:04	20218	-3.0577	-2.9751	18081	-2.2400	-1.9630	16307	11.8518	10.9753
03:15:12	20219	-3.2010	-2.7453	18082	-1.1925	-1.9451	16308	11.1839	12.5309
03:23:20	20220	-2.1166	-1.9932	18083	1.4680	-1.9356	16309	13.6576	14.4703
03:31:28	20221	-1.0844	-1.2255	18084	0.5698	-1.9322	16310	17.6229	15.8989
03:39:36	20222	-1.6772	-0.5363	18085	-0.5381	-1.9219	16311	20.1284	17.2298
03:47:44	20223	-0.0693	0.0962	18086	-1.6842	-1.9143	16312	19.4164	18.4743
03:55:52	20224	1.4463	1.2502	18087	-2.6194	-1.8890	16313	17.6170	18.7219
04:04:00	20225	-1.3623	2.0736	18088	-3.3773	-1.9166	16314	21.2680	17.8702
04:12:08	20226	6.6223	4.0960	18089	-3.4648	-1.9195	16315	20.2136	29.0933
04:20:16	20227	5.2213	5.4865	18090	-2.3163	-1.9159	16316	19.4446	17.5406
04:28:24	20228	2.7581	4.1996	18091	-0.3860	-1.8481	16317	18.0805	18.1890
04:36:32	20229	4.7190	4.8120	18092	-2.0949	-1.8128	16318	18.9670	19.1685
04:44:40	20230	3.7356	5.9981	18093	-2.2570	-1.8066	16319	24.0308	20.1949
04:52:48	20231	5.2894	8.1865	18094	2.0772	-1.4636	16320	28.2869	21.0249
05:00:56	20232	4.4176	9.4635	18095	-0.5739	-0.6520	16321	30.4258	43.4318
05:09:04	20233	6.6206	11.6046	18096	0.3901	1.4333	16322	35.7992	34.9372
